,RANK,FREQUENCY,WORD,PART OF SPEECH
4017,80,125430,people,n
4018,5127,1137,pepper,n
4019,718,14402,per,prep
4020,2815,2811,perceive,v
4021,6251,815,perceived,a
4022,225,41205,percent,n
4023,2715,2984,percentage,n
4024,2517,3320,perception,n
4025,1702,5574,perfect,a
4026,2028,4439,perfectly,adv
4027,1167,8648,perform,v
4028,704,14620,performance,n
4029,5241,1096,performer,n
4030,266,35039,perhaps,adv
4031,348,28300,period,n
4032,1995,4530,permanent,a
4033,4884,1229,permanently,adv
4034,2506,3343,permission,n
4035,2091,4289,permit,v
4036,3789,1785,persist,v
4037,4819,1249,persistent,a
4038,337,28981,person,n
4039,589,17622,personal,a
4040,2365,3621,personality,n
4041,2932,2635,personally,adv
4042,2513,3325,personnel,n
4043,2295,3779,perspective,n
4044,1864,4970,persuade,v
4045,6235,817,pest,n
4046,4543,1375,pet,n
4047,4231,1524,petition,n
4048,3190,2309,petrol,n
4049,6250,815,petty,a
4050,1689,5639,phase,n
4051,2410,3541,phenomenon,n
4052,5174,1122,philosopher,n
4053,4732,1285,philosophical,a
4054,2387,3590,philosophy,n
4055,1357,7150,phone,n
4056,2700,3001,phone,v
4057,3526,1962,photo,n
4058,1706,5549,photograph,n
4059,5387,1044,photograph,v
4060,3960,1672,photographer,n
4061,5939,882,photographic,a
4062,5316,1067,photography,n
4063,2169,4103,phrase,n
4064,1055,9569,physical,a
4065,3503,1980,physically,adv
4066,6266,811,physician,n
4067,3675,1862,physics,n
4068,3382,2102,piano,n
4069,703,14622,pick,v
4070,642,15748,picture,n
4071,4758,1275,picture,v
4072,5083,1154,pie,n
4073,689,14873,piece,n
4074,6118,843,pier,n
4075,3328,2149,pig,n
4076,6144,837,pigeon,n
4077,3203,2294,pile,n
4078,6117,843,pile,v
4079,5300,1075,pill,n
4080,5486,1014,pillar,n
4081,5314,1068,pillow,n
4082,2159,4117,pilot,n
4083,4726,1287,pin,n
4084,4380,1451,pin,v
4085,5682,958,pine,n
4086,2734,2948,pink,a
4087,3861,1744,pint,n
4088,6014,865,pioneer,n
4089,2629,3111,pipe,n
4090,3154,2338,pit,n
4091,2698,3003,pitch,n
4092,3740,1811,pity,n
4093,184,51537,place,n
4094,620,16392,place,v
4095,5250,1094,placement,n
